name,ra,dec,access,imagename,paper_id,flag_discovery,z_source,z_source_secure,flag_zsource,z_lens,z_lens_secure,flag_zlens,source_type,lens_type,n_img,image_conf,image_sep,flag_confirmed,flag_candidate,score,original_score,flag_contaminant,contaminant_type,info
KIDS0848+0115,132.2336,1.2609,PUB,,2018MNRAS.480.1163S,False,0.645,,,,,,QUASAR,GALAXY,2.0,,,False,False,,2.5,True,QUASAR+STAR,
KIDS2307-3039,346.8287,-30.6547,PUB,,2018MNRAS.480.1163S,True,,,,,,,QUASAR,GALAXY,2.0,,,False,True,2.75,2.5,False,,
KIDS0841+0101,130.39583,1.03222,PUB,,2018MNRAS.480.1163S,True,,,,,,,QUASAR,GALAXY,2.0,,,False,False,,2.5,True,STAR-FORMING GALAXY,Possible gravitational arc; C.L.: z=0.111 AGN
KIDS1217-0256,184.2904,-2.9395,PUB,,2018MNRAS.480.1163S,True,,,,,,,QUASAR,GALAXY,2.0,,,False,True,2.0,2.5,False,,
KIDS2316-3320,349.1159,-33.334,PUB,,2018MNRAS.480.1163S,True,,,,,,,QUASAR,GALAXY,2.0,,,False,True,2.0,2.5,False,,Possible NIQ
KIDS0324-3042,51.1161,-30.7141,PUB,,2018MNRAS.480.1163S,True,,,,,,,QUASAR,GALAXY,2.0,,,False,True,1.5,2.5,False,,
KIDS0924-0128,141.1571,-1.4794,PUB,,2018MNRAS.480.1163S,True,2.446,,,,,,QUASAR,GALAXY,2.0,,,False,False,,3.0,True,QUASAR+STAR,One of the images has a QSO SDSS spectrum (z = 2.446); C.L.: QUASAR+STAR based on Gaia proper motion of southern component
KIDS1441+0237,220.4379,2.6289,PUB,,2018MNRAS.480.1163S,False,1.61,,,,,,QUASAR,GALAXY,2.0,,,False,False,,3.0,True,,
KIDS1042+0023,160.6553,0.3839,PUB,,2018MNRAS.480.1163S,True,2.26,True,True,,,,QUASAR,GALAXY,2.0,,1.45,True,False,,3.5,False,,Spectroscopic data confirmed the lensing nature (Fig. 4)
KIDS0219-3430,34.9013,-34.5098,PUB,,2018MNRAS.480.1163S,True,,,,,,,QUASAR,GALAXY,2.0,,,False,True,1.5,2.0,False,,
KIDS0237-3408,39.333,-34.14,PUB,,2018MNRAS.480.1163S,True,,,,,,,QUASAR,GALAXY,2.0,,,False,False,,3.0,True,STARS,C.L.: Both are stars based on Gaia proper motions
KIDS0256-3101,44.0342,-31.0195,PUB,,2018MNRAS.480.1163S,True,,,,,,,QUASAR,GALAXY,2.0,,,False,True,0.5,2.5,False,,
KIDS0313-3016,48.2944,-30.2741,PUB,,2018MNRAS.480.1163S,True,,,,,,,QUASAR,GALAXY,2.0,,,False,False,,3.0,True,QUASAR+STAR,Very low separation between components <0.2 arcsec; C.L.: Quasar + star based on Gaia proper motions and WISE colours
KIDS0324-3109,51.2279,-31.1549,PUB,,2018MNRAS.480.1163S,True,,,,,,,QUASAR,GALAXY,2.0,,,False,False,,2.0,True,GALAXIES,C.L.: Clearly galaxies in KIDS image
KIDS0834-0139,128.6665,-1.6522,PUB,,2018MNRAS.480.1163S,True,,,,,,,QUASAR,GALAXY,2.0,,,False,False,,3.0,True,STARS,Not a lens. TNG Spectroscopy reveals that the two objects are stars.
KIDS0835+0003,128.9825,0.0517,PUB,,2018MNRAS.480.1163S,True,,,,,,,QUASAR,GALAXY,2.0,,,False,False,,2.0,True,STARS,C.L.: Red stars based on at least one Gaia proper motion
KIDS0838+0124,129.6729,1.4,PUB,,2018MNRAS.480.1163S,True,,,,,,,QUASAR,GALAXY,2.0,,,False,True,0.5,2.0,False,,
KIDS0841-0008,130.253,-0.1499,PUB,,2018MNRAS.480.1163S,True,,,,,,,QUASAR,GALAXY,2.0,,,False,True,0.5,2.0,False,,
KIDS0847-0013,131.7934,-0.2175,PUB,,2018MNRAS.480.1163S,False,0.628,,,,,,QUASAR,GALAXY,2.0,,,False,False,,2.5,False,,
KIDS0848+0048,132.1156,0.8098,PUB,,2018MNRAS.480.1163S,True,,,,,,,QUASAR,GALAXY,2.0,,,False,False,,3.0,True,QUASAR+STAR,C.L.: Based on Gaia proper motions
KIDS0858-0147,134.6424,-1.7985,PUB,,2018MNRAS.480.1163S,True,,,,,,,QUASAR,GALAXY,2.0,,,False,True,0.5,2.5,False,,
KIDS0859+0159,134.7618,1.988,PUB,,2018MNRAS.480.1163S,True,,,,,,,QUASAR,GALAXY,2.0,,,False,False,,1.5,True,STARS,Caution:it could be a QSO+gal system; C.L.: Based on Gaia proper motions
KIDS0901+0111,135.2636,1.1995,PUB,,2018MNRAS.480.1163S,True,,,,,,,QUASAR,GALAXY,2.0,,,False,False,,3.0,True,STARS,C.L.: Based on Gaia proper motions
KIDS0904-0052,136.1438,-0.8915,PUB,,2018MNRAS.480.1163S,True,,,,,,,QUASAR,GALAXY,2.0,,,False,True,2.25,2.0,False,,
KIDS0907+0003,136.7937,0.0559,PUB,,2018MNRAS.480.1163S,True,,,,,,,QUASAR,GALAXY,2.0,,,False,True,2.25,3.0,False,,Possible NIQ
KIDS0914+0130,138.512,1.5095,PUB,,2018MNRAS.480.1163S,True,,,,,,,QUASAR,GALAXY,2.0,,,False,False,,2.0,True,QUASAR+STAR,C.L.: Based on Gaia proper motions but could also be two stars
KIDS0916+0020,139.2072,0.3458,PUB,,2018MNRAS.480.1163S,True,,,,,,,QUASAR,GALAXY,2.0,,,False,True,1.25,3.0,False,,C.L.: Not sure this is the correct candidate; often coordinates are wrong in this paper table
KIDS0925+0021,141.4189,0.3604,PUB,,2018MNRAS.480.1163S,True,,,,,,,QUASAR,GALAXY,2.0,,,False,True,1.0,2.0,False,,
KIDS1028+0052,157.0569,0.8824,PUB,,2018MNRAS.480.1163S,True,,,,,,,QUASAR,GALAXY,2.0,,,False,True,1.25,2.5,False,,
KIDS1046+0017,161.7325,0.2997,PUB,,2018MNRAS.480.1163S,True,,,,,,,QUASAR,GALAXY,2.0,,,False,False,,2.5,True,STARS,C.L.: Based on Gaia proper motions
KIDS1114+0011,168.7306,0.1869,PUB,,2018MNRAS.480.1163S,True,,,,,,,QUASAR,GALAXY,2.0,,,False,True,0.25,3.0,False,,
KIDS1133+0253,173.4788,2.8951,PUB,,2018MNRAS.480.1163S,True,,,,,,,QUASAR,GALAXY,2.0,,,False,False,,1.5,True,STARS,Caution:f1/f2>>1; C.L.: Based on Gaia proper motions
KIDS1134+0139,173.6549,1.6635,PUB,,2018MNRAS.480.1163S,True,,,,,,,QUASAR,GALAXY,2.0,,,False,False,,3.0,True,STARS,C.L.: Based on Gaia proper motions
KIDS1138+0038,174.6792,0.64,PUB,,2018MNRAS.480.1163S,True,,,,,,,QUASAR,GALAXY,2.0,,,False,True,0.25,2.0,False,,C.L.: Not sure this is the correct candidate; often coordinates are wrong in this paper table
KIDS1139+0135,174.7811,1.5989,PUB,,2018MNRAS.480.1163S,True,,,,,,,QUASAR,GALAXY,2.0,,,False,True,0.75,1.5,False,,Caution:it could be a QSO+gal system
KIDS1143-0118,175.9594,-1.3125,PUB,,2018MNRAS.480.1163S,True,,,,,,,QUASAR,GALAXY,2.0,,,False,True,0.25,2.5,False,,
KIDS1143+0235,175.9903,2.5859,PUB,,2018MNRAS.480.1163S,True,,,,,,,QUASAR,GALAXY,2.0,,,False,True,0.5,2.0,False,,
KIDS1146+0102,176.7109,1.0445,PUB,,2018MNRAS.480.1163S,True,,,,,,,QUASAR,GALAXY,2.0,,,False,True,0.75,2.0,False,,
KIDS1148+0218,177.1294,2.3098,PUB,,2018MNRAS.480.1163S,True,,,,,,,QUASAR,GALAXY,2.0,,,False,False,,2.0,True,STARS,
KIDS1152-0030,178.1768,-0.5039,PUB,,2018MNRAS.480.1163S,True,,,,,,,QUASAR,GALAXY,2.0,,,False,True,0.5,2.0,False,,Very faint
KIDS1201+0132,180.3684,1.5488,PUB,,2018MNRAS.480.1163S,True,,,,,,,QUASAR,GALAXY,2.0,,,False,True,0.25,1.5,False,,
KIDS1202-0138,180.5878,-1.6357,PUB,,2018MNRAS.480.1163S,True,,,,,,,QUASAR,GALAXY,2.0,,,False,True,1.0,2.0,False,,
KIDS1209+0023,182.4567,0.4001,PUB,,2018MNRAS.480.1163S,True,,,,,,,QUASAR,GALAXY,2.0,,,False,True,1.25,2.0,False,,
KIDS1213+0255,183.465,2.9291,PUB,,2018MNRAS.480.1163S,True,,,,,,,QUASAR,GALAXY,2.0,,,False,True,0.25,2.0,False,,
KIDS1219+0251,184.9567,2.8514,PUB,,2018MNRAS.480.1163S,True,,,,,,,QUASAR,GALAXY,2.0,,,False,True,1.25,1.5,False,,
KIDS1220+0035,185.1199,0.5908,PUB,,2018MNRAS.480.1163S,True,,,,,,,QUASAR,GALAXY,2.0,,,False,False,,2.5,True,STARS,C.L.: Based on Gaia proper motions
KIDS1224+0043,186.0896,0.7249,PUB,,2018MNRAS.480.1163S,True,,,,,,,QUASAR,GALAXY,2.0,,,False,True,1.5,1.5,False,,Both components have low brightness
KIDS1224+0135,186.2016,1.5989,PUB,,2018MNRAS.480.1163S,True,,,,,,,QUASAR,GALAXY,2.0,,,False,False,,2.0,True,STARS,One of the components has an ETGs spectrum in SDSS.; C.L.: I do not understand the original paper comment. It is clearly a F9 star spectrum in SDSS; stars classification corroborated by Gaia proper motions
KIDS1227+0004,186.8991,0.0801,PUB,,2018MNRAS.480.1163S,True,,,,,,,QUASAR,GALAXY,2.0,,,False,True,0.75,2.0,False,,
KIDS1406-0112,211.5937,-1.2086,PUB,,2018MNRAS.480.1163S,False,1.154,,,,,,QUASAR,GALAXY,2.0,,,False,True,,2.5,False,,One of the images has a QSO-like SDSS spectrum (z = 1.154)
KIDS1409+0256,212.3239,2.9385,PUB,,2018MNRAS.480.1163S,True,,,,,,,QUASAR,GALAXY,2.0,,,False,True,1.0,2.5,False,,
KIDS1412+0054,213.1719,0.9171,PUB,,2018MNRAS.480.1163S,True,,,,,,,QUASAR,GALAXY,2.0,,,False,False,,2.0,True,QUASAR+STAR,Separation bigger than 5 arcsec; C.L.: Based on Gaia proper motions at least the Northern component is a star
KIDS1414-0028,213.6154,-0.4691,PUB,,2018MNRAS.480.1163S,True,,,,,,,QUASAR,GALAXY,2.0,,,False,True,1.75,2.0,False,,"Caution:could be galaxies.; C.L.: Looks like a definite lens in KIDS gri, but like a star-forming galaxy in DECALS... "
KIDS1417-0032,214.3641,-0.541,PUB,,2018MNRAS.480.1163S,True,,,,,,,QUASAR,GALAXY,2.0,,,False,True,1.75,2.0,False,,
