name,ra,dec,access,imagename,paper_id,flag_discovery,z_source,z_source_secure,flag_zsource,z_lens,z_lens_secure,flag_zlens,source_type,lens_type,n_img,image_conf,image_sep,flag_confirmed,flag_candidate,candidate_score,original_score,flag_contaminant,contaminant_type,info
DESJ0053-2012,13.4353,-20.2092,PUB,,2020MNRAS.494.3491L,True ,3.8,True ,True ,,,,QUASAR,GALAXY,4.0,LONG-AXIS CUSP,,True ,,,,,,
DESJ0112-1650,18.1412,-16.841,PUB,,2020MNRAS.494.3491L,True ,0.99,True ,True ,0.54,True ,True ,QUASAR,GALAXY,2.0,,,True ,,,,,,
DESJ0150-4041,27.7369,-40.6956,PUB,,2020MNRAS.494.3491L,True ,1.85,True ,True ,,,,QUASAR,GALAXY,2.0,,,True ,,,,,,
DESJ0245-0556,41.3565,-5.9501,PUB,,2020MNRAS.494.3491L,True ,1.54,True ,True ,,,,QUASAR,GALAXY,2.0,,,True ,,,,,,
DESJ0246-1845,41.55083,-18.7514,PUB,,2020MNRAS.494.3491L,True ,1.86,True ,True ,,,,QUASAR,GALAXY,2.0,,,True ,,,,,,
DESJ0340-2545,55.0351,-25.761,PUB,,2020MNRAS.494.3491L,True ,1.68,True ,True ,,,,QUASAR,GROUP,3.0,,,True ,,,,,,
DESJ0407-1931,61.9741,-19.5225,PUB,,2020MNRAS.494.3491L,True ,2.26,True ,True ,0.288,True ,True ,QUASAR,GALAXY,2.0,,,True ,,,,,,
DESJ0501-4118,75.4413,-41.3003,PUB,,2020MNRAS.494.3491L,True ,2.1,True ,True ,,,,QUASAR,GALAXY,2.0,,,True ,,,,,,
DESJ0600-4649,90.1242,-46.8168,PUB,,2020MNRAS.494.3491L,True ,2.21,True ,True ,,,,QUASAR,GALAXY,2.0,,,True ,,,,,,
DESJ2349-4518,357.4924,-45.3147,PUB,,2020MNRAS.494.3491L,True ,2.9,True ,True ,,,,QUASAR,GALAXY,2.0,,,True ,,,,,,
DESJ0027+0232,6.7619,2.5375,PUB,,2020MNRAS.494.3491L,True ,2.02,True ,True ,,,,QUASAR,GALAXY,2.0,,,,True ,,,,,
DESJ0101-4943,15.3366,-49.7234,PUB,,2020MNRAS.494.3491L,True ,2.1,True ,True ,,,,QUASAR,GALAXY,2.0,,,,True ,,,,,
DESJ0118-0104,19.5501,-1.0785,PUB,,2020MNRAS.494.3491L,True ,0.74,True ,True ,,,,QUASAR,GALAXY,2.0,,,,True ,,,,,
DESJ0118-3115,19.6679,-31.2619,PUB,,2020MNRAS.494.3491L,True ,1.74,True ,True ,,,,QUASAR,GALAXY,2.0,,,,True ,,,,,
DESJ0122+0358,20.599,3.9771,PUB,,2020MNRAS.494.3491L,True ,1.69,True ,True ,,,,QUASAR,GALAXY,2.0,,,,True ,,,,,
DESJ0152-4415,28.1183,-44.2525,PUB,,2020MNRAS.494.3491L,True ,,,,,,,QUASAR,GALAXY,2.0,,,,,,,True,PROJECTED QUASARS,"Projected QUASARs, z = 0.62 and z = 2.17"
DESJ0229+0320,37.4924,3.3419,PUB,,2020MNRAS.494.3491L,True ,1.43,True ,True ,,,,QUASAR,GALAXY,2.0,,,,True ,,,,,
DESJ0254-2243,43.572,-22.7315,PUB,,2020MNRAS.494.3491L,True ,2.04,True ,True ,,,,QUASAR,GALAXY,2.0,,,,True ,,,,,
