name,ra,dec,access,imagename,paper_id,flag_discovery,z_source,z_source_secure,flag_zsource,z_lens,z_lens_secure,flag_zlens,source_type,lens_type,n_img,image_conf,image_sep,flag_confirmed,flag_candidate,score,original_score,flag_contaminant,contaminant_type,info
A1507-1442,226.95084,-14.7033,PUB,,2018MNRAS.475.2086A,True,,,,,,,QUASAR,,,,,,False,,2.01,True,GALAXY+STARS,Contaminant; Galaxy seen through two stars
A1132-0730,173.03091,-7.5118,PUB,,2018MNRAS.475.2086A,True,,,,,,,QUASAR,,,,,,True,2.0,2.4,False,,NIQ; zs = 1.99
A1112-0335,168.18096,-3.5859,PUB,,2018MNRAS.475.2086A,True,,,,,,,QUASAR,,,,,,True,2.0,2.35,False,,NIQ; zs = 1.27
A1428-0302,217.48956,-3.0414,PUB,,2018MNRAS.475.2086A,True,,,,,,,QUASAR,,,,,,True,,2,True,STARS,Contaminant; Stars?; C.L. Based on Gaia proper motions
A0326-3122,51.52828,-31.3816,PUB,,2018MNRAS.475.2086A,False,,,,,,,QUASAR,,,,,,True,2.0,2,False,,NIQ; zs = 1.35
A2338-2700,354.52705,-27.0151,PUB,,2018MNRAS.475.2086A,True,,,,,,,QUASAR,,,,,,False,,2.5,True,GALAXIES,"Contaminant; z = 0.68 (Mg II), merging NLGs"
A2213-2652,333.41012,-26.8742,PUB,,2018MNRAS.475.2086A,True,1.27,True,True,,,,QUASAR,,2.0,,,True,False,,2.24,False,,NIQ/lens; zs = 1.27
A0008-3655,2.12243,-36.9231,PUB,,2018MNRAS.475.2086A,True,,,,,,,QUASAR,,,,,,True,1.75,2,False,,Unclear; z ≈ 1.715 qso
A0015-1116,3.98259,-11.283,PUB,,2018MNRAS.475.2086A,True,,,,,,,QUASAR,,,,,,False,,2.21,True,QUASAR+STAR,Contaminant; Star + qso z ≈ 1.55
A0054-3951,13.53024,-39.8643,PUB,,2018MNRAS.475.2086A,True,,,,,,,QUASAR,,,,,,True,1.0,1.5,False,,Uncertain; z = 0.475 or z = 1.16
A0106-1030,16.70878,-10.5097,PUB,,2018MNRAS.475.2086A,True,,,,,,,QUASAR,,,,,,False,,2,True,QUASAR+STAR,Contaminant; Star + qso z = 1.995
A0355-3448,58.75462,-34.8005,PUB,,2018MNRAS.475.2086A,True,,,,,,,QUASAR,,,,,,False,,2.18,True,PROJECTED QUASARS,"Contaminant; qso + qso, z = 1.19, 2.04"
A2145-3927,326.38489,-39.4589,PUB,,2018MNRAS.475.2086A,True,,,,,,,QUASAR,,,,,,False,,2.36,True,QUASAR+STAR,"Contaminant; Single qso z ≈ 0.45; C.L.:incorrectly classified, nearby companion is a star based on Gaia proper motions"
A2243-3840,340.86579,-38.669,PUB,,2018MNRAS.475.2086A,True,,,,,,,QUASAR,,,,,,False,,2.09,True,QUASAR+GALAXY,Contaminant; qso z ≈ 2.7 and galaxy
