name,ra,dec,access,imagename,paper_id,flag_discovery,z_source,z_source_secure,flag_zsource,z_lens,z_lens_secure,flag_zlens,source_type,lens_type,n_img,image_conf,image_sep,flag_confirmed,flag_candidate,candidate_score,original_score,flag_contaminant,contaminant_type,info
SDSS J004018.21+005530.9,10.07685,0.92456,PUB,,2010AJ....140..403I,TRUE,2.019,,,,,,QUASAR,,,,8.53,FALSE,FALSE,,,TRUE,PROJECTED QUASARS,Colour candidate; QSO pair; has follow-up spectrum/2.080/2.019
SDSS J014917.10-002141.6,27.32202,-0.3639,PUB,,2010AJ....140..403I,TRUE,1.688,,,,,,QUASAR,,,,17.67,FALSE,FALSE,,,TRUE,PROJECTED QUASARS,Colour candidate; QSO pair; has follow-up spectrum/2.160/1.688
SDSS J032029.75+000650.0,50.12635,0.115,PUB,,2010AJ....140..403I,TRUE,1.704,,,,,,QUASAR,,,,18.99,FALSE,FALSE,,,TRUE,QUASAR+STAR,Colour candidate; No lens object; C.L.: QSO+star based on Gaia proper motions
SDSS J034347.00-000706.5,55.94683,-0.11741,PUB,,2010AJ....140..403I,TRUE,1.975,,,,,,QUASAR,,,,10.49,FALSE,FALSE,,,TRUE,QUASAR+STAR,Colour candidate; No lens object; C.L.: QSO+star based on Gaia proper motions
SDSS J072653.68+394706.9,111.7236,39.78576,PUB,,2010AJ....140..403I,TRUE,1.599,,,,,,QUASAR,,,,3.69,FALSE,FALSE,,,TRUE,QUASAR+STAR,Colour candidate; No lens object; C.L.: QSO+star based on Gaia proper motions
SDSS J074550.99+503423.1,116.462,50.57408,PUB,,2010AJ....140..403I,TRUE,1.737,,,,,,QUASAR,,,,7.44,FALSE,FALSE,,,TRUE,QUASAR+STAR,Colour candidate; No lens object; C.L.: QSO+star based on Gaia proper motions
SDSS J075403.19+193740.9,118.5141,19.62709,PUB,,2010AJ....140..403I,TRUE,1.54,,,,,,QUASAR,,,,8.87,FALSE,FALSE,,,TRUE,QUASAR+STAR,Colour candidate; QSO+star; has follow-up spectrum
SDSS J080932.70+193847.2,122.3844,19.64673,PUB,,2010AJ....140..403I,TRUE,1.67,,,,,,QUASAR,,,,12.68,FALSE,TRUE,0.5,,FALSE,,Colour candidate; No lens object
SDSS J081210.96+070826.2,123.0456,7.14235,PUB,,2010AJ....140..403I,TRUE,1.862,,,,,,QUASAR,,,,12.39,FALSE,FALSE,,,TRUE,QUASAR+STAR,Colour candidate; No lens object; C.L.: QSO+star based on Gaia proper motions
SDSS J083228.49+563234.2,128.1187,56.54326,PUB,,2010AJ....140..403I,TRUE,0.683,,,,,,QUASAR,,,,3.09,FALSE,FALSE,,,TRUE,QUASAR+STAR,Colour candidate; QSO+star; has follow-up spectrum
SDSS J084109.72+250200.2,130.2908,25.03558,PUB,,2010AJ....140..403I,TRUE,1.227,,,,,,QUASAR,,,,15.89,FALSE,FALSE,,,TRUE,PROJECTED QUASARS,Colour candidate; no lens object; C.L.: new SDSS spectra show projected at z=1.227 and z=1.281
SDSS J084359.79+073229.7,130.9993,7.53967,PUB,,2010AJ....140..403I,TRUE,2.175,,,,,,QUASAR,,,,13.97,FALSE,TRUE,0.5,,FALSE,,Colour candidate; no lens object
SDSS J085705.91+270149.0,134.2751,27.03008,PUB,,2010AJ....140..403I,TRUE,1.419,,,,,,QUASAR,,,,3.36,FALSE,TRUE,0.25,,FALSE,,Colour candidate; No lens object
SDSS J090323.94+313445.6,135.8502,31.57905,PUB,,2010AJ....140..403I,TRUE,1.217,,,,,,QUASAR,,,,3.78,FALSE,FALSE,,,TRUE,QUASAR+STAR,Colour candidate; No lens object; C.L.: QSO+star based on Gaia proper motions
SDSS J090505.55+085826.4,136.273,8.9744,PUB,,2010AJ....140..403I,TRUE,1.082,,,,,,QUASAR,,,,2.88,FALSE,FALSE,,,TRUE,QUASAR+STAR,Colour candidate; No lens object; C.L.: QSO+star based on Gaia proper motions
SDSS J092722.27+343321.2,141.8413,34.5542,PUB,,2010AJ....140..403I,TRUE,1.393,,,,,,QUASAR,,,,14.87,FALSE,FALSE,,,TRUE,QUASAR+STAR,Colour candidate; Not QSO; has follow-up spectrum; C.L.: QSO+star based on Gaia proper motions
SDSS J093514.07+372140.7,143.8093,37.36191,PUB,,2010AJ....140..403I,TRUE,1.798,,,,,,QUASAR,,,,5.91,FALSE,FALSE,,,TRUE,QUASAR+STAR,Colour candidate; QSO+star; has follow-up spectrum
SDSS J094115.37+305810.3,145.3142,30.96929,PUB,,2010AJ....140..403I,TRUE,1.193,,,,,,QUASAR,,,,2.39,FALSE,FALSE,,,TRUE,QUASAR+GALAXY,Colour candidate; QSO+galaxy
SDSS J094132.43+112913.1,145.383,11.48755,PUB,,2010AJ....140..403I,TRUE,1.535,,,,,,QUASAR,,,,15.51,FALSE,FALSE,,,TRUE,QUASAR+STAR,Colour candidate; QSO+star; has follow-up spectrum
SDSS J094903.46+280021.9,147.2646,28.00626,PUB,,2010AJ....140..403I,TRUE,1.563,,,,,,QUASAR,,,,1.72,FALSE,FALSE,,,TRUE,QUASAR+STAR,Colour candidate; QSO+star; has follow-up spectrum
