name,ra,dec,access,imagename,paper_id,flag_discovery,z_source,z_source_secure,flag_zsource,z_lens,z_lens_secure,flag_zlens,source_type,lens_type,n_img,image_conf,image_sep,flag_confirmed,flag_candidate,score,original_score,flag_contaminant,contaminant_type,info
J0658-2850,104.6541,-28.8463,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,STARS,stars
J0659+1057,104.8166,10.96333,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,STARS,star + star
J0700+1214,105.0291,12.245,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,PLANETARY NEBULA,likely planetary nebula
J0700+1708,105.1666,17.14055,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,STARS,star (close separation)
J0706-2311,106.6374,-23.1936,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,AGN (z=0.70) + star
J0718+2944,109.5958,29.74222,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,star + star flanking type-2 AGN (z=0.301)
J0734+2733,113.5281,27.5654,PUB,,2021ApJ...921...42S,False,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,quasar (z=1.924) + star
J0735+2036,113.8916,20.60916,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,quasar (z=2.191) + star
J0741+1452,115.4583,14.87194,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,STARS+GALAXY,stars + galaxy (z=0.07)
J0752+0516,118.1791,5.27611,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,STARS,star + star
J0753+1734,118.4166,17.56944,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,PROJECTED QUASARS,quasar (z=0.952) + quasar (z=1.258)
J0759-1732,119.8874,-17.5366,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,STARS,star + star
J0812-1507,123.2083,-15.1241,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,quasar (z=1.374) + star
J0813+1033,123.4833,10.55055,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,quasar (z=0.800) + star
J0815+2634,123.7916,26.57472,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,quasar (z=2.350) + star
J0816+2338,124.1666,23.64416,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,STAR+OTHER,star + faint continuum
J0821+1830,125.3333,18.51166,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,quasar (z=1.515) + star
J0826+2354,126.7124,23.90416,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,quasar (z=0.947) + star
J0827-1624,126.8999,-16.413,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,quasar (z=2.51) + stars
J0834+2122,128.6333,21.37833,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,quasar (z=1.730) + star
J0850-0527,132.7291,-5.45972,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,quasar (z=1.084) + star
J0901-1945,135.4041,-19.7663,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,quasar (z=1.492) + star
J0906-0937,136.5416,-9.63194,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,quasar (z=0.975) + star
J0907-0214,136.8708,-2.24972,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,PROJECTED QUASARS,quasar pair (z=2.773 + z=2.868)
J0920-0631,140.0625,-6.52888,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,quasar (z=2.117) + star
J0924-0128,141.1571,-1.4794,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,BAL quasar (z=2.39) + star
J0932+0622,143.1666,6.36778,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,quasar (z=1.865) + star
J0949-3707,147.4083,-37.1202,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,STARS,stars (likely)
J0951+3157,147.9458,31.95111,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,quasar (z=0.731) + star
J1009-4830,152.3458,-48.515,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,STARS,stars (probably)
J1012+1607,153.1458,16.1325,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,quasar (z=1.031) + star
J1017+1044,154.3708,10.73749,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,quasar (z=0.899) + star
J1023+3914,155.9249,39.24,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,GALAXIES,galaxy pair (z=0.107)
J1036-1335,159.0958,-13.5844,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,GALAXIES,"galaxy pair, one active (z=0.148)"
J1053+0601,163.4833,6.03306,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,quasar (z=1.07?) + star
J1123+1046,170.9291,10.77916,PUB,,2021ApJ...921...42S,False,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,quasar (z=1.639) + star
J1141-0436,175.2666,-4.61416,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,quasar (z=1.63) + star
J1148+4826,177.0,48.43944,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,GALAXIES,galaxy triplet (z=0.100)
J1226-4542,186.6166,-45.7025,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,STARS,star
J1251+0311,192.9208,3.19472,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,quasar (z=1.224) + star
J1308-0055,197.0458,-0.92916,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,quasar (z=1.606) + star
J1328+2741,202.2416,27.68472,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,GALAXIES,galaxy pair (z=0.197 + z=0.196)
J1336+0643,204.1541,6.73278,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,quasar (z=0.454) + star
J1402-1104,210.6249,-11.0744,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,STARS,star + star (both young)
J1405-0006,211.2874,-0.11444,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,quasar (z=0.992) + star
J1407-2257,211.8583,-22.9519,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,quasar (z=1.435) + star
J1437+1010,219.3124,10.16916,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,quasar (z=1.020) + star
J1454+1939,223.4999,19.65694,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,quasar (z=1.449) + star
J1457-0012,224.4749,-0.21611,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,quasar (z=1.53) + star
J1511-0151,227.8124,-1.86083,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,GALAXIES,galaxy pair (z=0.226 + z=0.263)
