name,ra,dec,imagename,paper_id,flag_discovery,redshift_source,redshift_source_secure,flag_source_redshift,redshift_lens,redshift_lens_secure,flag_lens_redshift,n_images,image_configuration,image_separation,lens_type,source_type,flag_confirmed,flag_contaminant,contaminant_type,flag_candidate,candidate_score,original_score,uploader_comment,other_comment
DESI-037.4837-31.1730,37.48372,-31.173,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-038.0264-35.4899,38.02639,-35.4899,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-038.8136-21.5095,38.8136,-21.5095,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-040.2205-05.8472,40.22051,-5.8472,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-040.5664-25.1054,40.5664,-25.1054,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-040.7627-00.1001,40.76269,-0.1001,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-041.7608+03.9333,41.76076752,3.933334407,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-042.0371-02.2771,42.0371,-2.2771,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-043.1867-13.2239,43.1867,-13.2239,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-043.5347-28.7960,43.53472,-28.796,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-043.6660-04.3071,43.66599,-4.3071,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-044.4121-22.1575,44.41205302,-22.15753261,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-044.4344-20.1488,44.4344,-20.1488,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-044.7161-19.9477,44.71613421,-19.94773949,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-044.9811+01.1387,44.98114,1.1387,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-046.7690-06.4805,46.769,-6.4805,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-047.1434-32.9919,47.14340308,-32.99192097,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-049.8264+02.0934,49.8264,2.0934,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-051.8321-21.6081,51.8321,-21.6081,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-053.6254-13.1866,53.62544,-13.1866,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-055.0891-25.5584,55.0890699999999,-25.5584,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-055.7976-28.4777,55.79764,-28.4777,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-057.2074-10.2962,57.20735,-10.2962,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-057.9070-07.8706,57.907,-7.8706,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-058.6486-30.5959,58.6485699999999,-30.5959,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-058.7926-18.5262,58.79257,-18.5262,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-060.5238-22.0990,60.52383,-22.099,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-060.7613-21.3645,60.76131355,-21.36450106,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-060.9953-26.0348,60.9953,-26.0348,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-063.0145-18.9874,63.01454281,-18.98744714,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-064.8536-25.2248,64.85358,-25.2248,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-065.6447-28.0652,65.6447,-28.0652,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-066.1601-07.6524,66.1601,-7.6524,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-066.3798-37.7174,66.3798,-37.7174,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-067.4729-29.9597,67.4729,-29.9597,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
